"Grupo","Membro","TipoMembro"
"Administrators","ADSync","user"
"Administrators","PC-RUI-RAMOS$","computer"
"Administrators","rui.ramos","user"
"Administrators","ricardosousa","user"
"Administrators","Domain Admins","group"
"Administrators","Enterprise Admins","group"
"Administrators","Administrator","user"
"Users","ADSyncMSA19c20$","msDS-ManagedServiceAccount"
"Users","Domain Users","group"
"Users","Authenticated Users",
"Users","INTERACTIVE",
"Guests","Domain Guests","group"
"Guests","Guest","user"
"Remote Desktop Users","officelan.admin","user"
"Performance Log Users","pGMSA_dfc99a7b$","msDS-GroupManagedServiceAccount"
"Distributed COM Users","pa.userID","user"
"IIS_IUSRS","IUSR",
"Domain Computers","SRV-RDP-01$","computer"
"Domain Computers","SRV-DB-01$","computer"
"Domain Computers","SRV-FS-01$","computer"
"Domain Computers","PC-VANIARIBEIRO$","computer"
"Domain Computers","PC-CLAUDIAS$","computer"
"Domain Computers","PC-PATRICIAC$","computer"
"Domain Computers","PC-MONICAF$","computer"
"Domain Computers","PC-RICARDOS$","computer"
"Domain Computers","ADSyncMSA19c20$","msDS-ManagedServiceAccount"
"Domain Computers","SRV-EXTRA-01$","computer"
"Domain Computers","SRV-IIS-01$","computer"
"Domain Computers","PC-PATRICIAC2$","computer"
"Domain Computers","PC-MONICAF2$","computer"
"Domain Computers","PC-LUISCARLOS$","computer"
"Domain Computers","PC-LUISPEDRO$","computer"
"Domain Computers","PORTATIL4$","computer"
"Domain Computers","PC-FIXO1$","computer"
"Domain Computers","PC-AMERICOFERRE$","computer"
"Domain Computers","PC-MARISA$","computer"
"Domain Computers","PC-ANARITA$","computer"
"Domain Computers","PC-RUI-RAMOS$","computer"
"Domain Computers","PC-JOANA-FONSEC$","computer"
"Domain Computers","PC-PEDRODINIS$","computer"
"Domain Computers","PC-JOSE-MELO$","computer"
"Domain Computers","CLAUDIA_SANTOS$","computer"
"Domain Computers","NUNOSOUSA$","computer"
"Domain Computers","KARINE_COSTA$","computer"
"Domain Computers","TIAGOMATOS$","computer"
"Domain Computers","pGMSA_dfc99a7b$","msDS-GroupManagedServiceAccount"
"Domain Controllers","SRV-AD-01$","computer"
"Schema Admins","Administrator","user"
"Enterprise Admins","ADSync","user"
"Enterprise Admins","Administrator","user"
"Domain Admins","Administrator","user"
"Domain Admins","officelan.admin","user"
"Domain Admins","aintar.admin","user"
"Domain Admins","adm.rui.ramos","user"
"Domain Admins","adm.ricardosousa","user"
"Domain Users","Administrator","user"
"Domain Users","krbtgt","user"
"Domain Users","altice.admin","user"
"Domain Users","AIRC_VPN","user"
"Domain Users","officelan.admin","user"
"Domain Users","pa.userID","user"
"Domain Users","AINTAR_VPN","user"
"Domain Users","vaniatrovao","user"
"Domain Users","claudiasantos","user"
"Domain Users","patriciacosta","user"
"Domain Users","monicafigueiredo","user"
"Domain Users","ricardosousa","user"
"Domain Users","ScannerRicoh","user"
"Domain Users","luispedro","user"
"Domain Users","pedropatricio","user"
"Domain Users","teste365","user"
"Domain Users","Off365Sync","user"
"Domain Users","MSOL_19c20b45ddbd","user"
"Domain Users","auditor","user"
"Domain Users","aintar.admin","user"
"Domain Users","developer.iis","user"
"Domain Users","claudiamarques","user"
"Domain Users","pedrodinis","user"
"Domain Users","adminaintar","user"
"Domain Users","rui.ramos","user"
"Domain Users","MarisaFigueiredo","user"
"Domain Users","josemelo","user"
"Domain Users","tiagoferraz","user"
"Domain Users","anarita","user"
"Domain Users","americoferreira","user"
"Domain Users","alexandrapinto","user"
"Domain Users","goncalorodrigues","user"
"Domain Users","tiagomatos","user"
"Domain Users","dianaloio","user"
"Domain Users","nunosousa","user"
"Domain Users","inescaeiro","user"
"Domain Users","karinecosta","user"
"Domain Users","guilhermefigueiredo","user"
"Domain Users","fortinet","user"
"Domain Users","ADSync","user"
"Domain Users","adm.rui.ramos","user"
"Domain Users","adm.ricardosousa","user"
"Domain Users","MSOL_57b4c24f4578","user"
