"Grupo","Escopo","Categoria","Membros","Descricao","Criado","DN"
"Administrators","DomainLocal","Security","7","Administrators have complete and unrestricted access to the computer/domain","13/01/2023 12:10:26","CN=Administrators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Users","DomainLocal","Security","4","Users are prevented from making accidental or intentional system-wide changes and can run most applications","13/01/2023 12:10:26","CN=Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Guests","DomainLocal","Security","2","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","13/01/2023 12:10:26","CN=Guests,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Print Operators","DomainLocal","Security","0","Members can administer printers installed on domain controllers","13/01/2023 12:10:26","CN=Print Operators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Backup Operators","DomainLocal","Security","0","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","13/01/2023 12:10:26","CN=Backup Operators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Replicator","DomainLocal","Security","0","Supports file replication in a domain","13/01/2023 12:10:26","CN=Replicator,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Remote Desktop Users","DomainLocal","Security","1","Members in this group are granted the right to logon remotely","13/01/2023 12:10:26","CN=Remote Desktop Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Network Configuration Operators","DomainLocal","Security","0","Members in this group can have some administrative privileges to manage configuration of networking features","13/01/2023 12:10:26","CN=Network Configuration Operators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Performance Monitor Users","DomainLocal","Security","0","Members of this group can access performance counter data locally and remotely","13/01/2023 12:10:26","CN=Performance Monitor Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Performance Log Users","DomainLocal","Security","1","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer","13/01/2023 12:10:26","CN=Performance Log Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Distributed COM Users","DomainLocal","Security","1","Members are allowed to launch, activate and use Distributed COM objects on this machine.","13/01/2023 12:10:26","CN=Distributed COM Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
"IIS_IUSRS","DomainLocal","Security","1","Built-in group used by Internet Information Services.","13/01/2023 12:10:26","CN=IIS_IUSRS,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Cryptographic Operators","DomainLocal","Security","0","Members are authorized to perform cryptographic operations.","13/01/2023 12:10:26","CN=Cryptographic Operators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Event Log Readers","DomainLocal","Security","0","Members of this group can read event logs from local machine","13/01/2023 12:10:26","CN=Event Log Readers,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Certificate Service DCOM Access","DomainLocal","Security","0","Members of this group are allowed to connect to Certification Authorities in the enterprise","13/01/2023 12:10:26","CN=Certificate Service DCOM Access,CN=Builtin,DC=AINTAR,DC=LOCAL"
"RDS Remote Access Servers","DomainLocal","Security","0","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","13/01/2023 12:10:26","CN=RDS Remote Access Servers,CN=Builtin,DC=AINTAR,DC=LOCAL"
"RDS Endpoint Servers","DomainLocal","Security","0","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","13/01/2023 12:10:26","CN=RDS Endpoint Servers,CN=Builtin,DC=AINTAR,DC=LOCAL"
"RDS Management Servers","DomainLocal","Security","0","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","13/01/2023 12:10:26","CN=RDS Management Servers,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Hyper-V Administrators","DomainLocal","Security","0","Members of this group have complete and unrestricted access to all features of Hyper-V.","13/01/2023 12:10:26","CN=Hyper-V Administrators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Access Control Assistance Operators","DomainLocal","Security","0","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","13/01/2023 12:10:26","CN=Access Control Assistance Operators,CN=Builtin,DC=AINTAR,DC=LOCAL"
"Remote Management Users","DomainLocal","Security","0","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","13/01/2023 12:10:26","CN=Remote Management Users,CN=Builtin,DC=AINTAR,DC=LOCAL"
