"Categoria","Objeto","Problema"
"ESTRUTURA","CN=Users","4 utilizadores no contentor default em vez de OUs: adminaintar, goncalorodrigues, MSOL_19c20b45ddbd, MSOL_57b4c24f4578"
"GRUPO","SG_Direcção","Grupo vazio criado em 2024-09-24 -- candidato a remocao"
"PRIVILEGIOS","Domain Admins","Rever membros (5): Administrator, officelan.admin, aintar.admin, adm.rui.ramos, adm.ricardosousa"
"PRIVILEGIOS","Enterprise Admins","Rever membros (2): ADSync, Administrator"
"PRIVILEGIOS","Schema Admins","Rever membros (1): Administrator"
"PRIVILEGIOS","Administrators","Rever membros (7): ADSync, PC-RUI-RAMOS$, rui.ramos, ricardosousa, Domain Admins, Enterprise Admins, Administrator"
"PASSWORD","ScannerRicoh","Password nunca expira (e nao parece conta de servico)"
"PASSWORD","MSOL_19c20b45ddbd","Password nunca expira (e nao parece conta de servico)"
"PASSWORD","fortinet","Password nunca expira (e nao parece conta de servico)"
"PASSWORD","ADSync","Password nunca expira (e nao parece conta de servico)"
"PASSWORD","MSOL_57b4c24f4578","Password nunca expira (e nao parece conta de servico)"
