"Extensao","Ficheiros","TamanhoMB"
".pdf","57181","44766,1"
".zip","937","43281,7"
".jpg","21388","26452,6"
".mp4","130","24523,1"
".tif","166","15057,3"
".rar","278","10005,9"
".dwg","4008","9984,2"
".ost","1","9639,3"
".xml","6719","6637,4"
".avi","9","5648"
".7z","89","4460,8"
".docx","8595","2707"
".jpeg","5684","2338,5"
".dwfx","768","1814,2"
".bak","294","1608,8"
".eod","2003","1526,1"
".doc","4136","1268,8"
".png","1276","986,4"
".msg","510","975,2"
".ecw","80","838,1"
".dbf","279","814,9"
".dwf","488","802,4"
".dmp","5","695,4"
".xlsx","3221","644"
".xlsm","179","539,3"
".log","53","521,1"
".ecmp","27","352,5"
".xls","795","308,7"
".jfif","1173","306,1"
".exe","65","294,9"
