"Pasta","Problema","Detalhe"
"D:\AIRCDOC$","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$","HERANCA_QUEBRADA","Heranca de permissoes desativada nesta pasta"
"D:\AIRCDOC$\SGF","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SGF\DOC","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SGF\DOC\FAT","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SGF\DOC\Outbound","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SGF\DOC\SAFT","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SGF\OBS","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\comerro","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\500014078","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\500246963","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\500302030","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\500433402","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\501378669","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\501753494","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\501777270","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\501900004","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\502117524","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\502468521","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\502883308","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\502917040","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\503188620","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\503504564","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\503797766","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
"D:\AIRCDOC$\SNC\Inbound\503884189","ACESSO_AMPLO_ESCRITA","Everyone com FullControl"
