"Partilha","Caminho","Descricao","Conta","Acesso","Tipo"
"AIRCDOC$","D:\AIRCDOC$","","BUILTIN\Administrators","Full","Allow"
"AIRCDOC$","D:\AIRCDOC$","","Everyone","Full","Allow"
"APP","D:\APP","","BUILTIN\Administrators","Full","Allow"
"APP","D:\APP","","Everyone","Full","Allow"
"FILE_AINTAR","D:\FILE_AINTAR","","BUILTIN\Administrators","Full","Allow"
"FILE_AINTAR","D:\FILE_AINTAR","","Everyone","Full","Allow"
"POSTGRES","D:\POSTGRES","","BUILTIN\Administrators","Full","Allow"
"POSTGRES","D:\POSTGRES","","Everyone","Full","Allow"
"RICOH rececao","RICOH IM 350 PCL 6,LocalsplOnly","PCL6 Driver (For Windows)","AINTAR\rui.ramos","Full","Allow"
"RICOH rececao","RICOH IM 350 PCL 6,LocalsplOnly","PCL6 Driver (For Windows)","Everyone","Full","Allow"
"RICOH rececao","RICOH IM 350 PCL 6,LocalsplOnly","PCL6 Driver (For Windows)","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","Full","Allow"
"RICOH rececao","RICOH IM 350 PCL 6,LocalsplOnly","PCL6 Driver (For Windows)","BUILTIN\Administrators","Full","Allow"
"RICOH rececao","RICOH IM 350 PCL 6,LocalsplOnly","PCL6 Driver (For Windows)","*S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","Full","Allow"
"SHARED","D:\SHARED","","CREATOR OWNER","Change","Allow"
"SHARED","D:\SHARED","","NT AUTHORITY\Authenticated Users","Change","Allow"
