Timestamp;Codigo;Aplicacao;VersaoInstalada;VersaoDisponivel;DataPublicacao;Estado;LinkDownload;Designacao;InstallPath;Source
15/05/2026 23:56;;AIRC - Aplicação de Administração;26.03;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\ADM;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Beneficiários da ADSE;26.03;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SBA;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Gestão de Faturação;26.10;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SGF;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Gestão de Pessoal;26.39;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SGP;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Normalização Contabilística;26.30;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SNC;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Normalização de Património;26.15;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SNP;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Taxas e Licenças;26.12;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\TAX;Uninstall
15/05/2026 23:56;;AIRC - Sistema de Tesouraria para SNCAP;26.06;;;Codigo nao identificado;;;C:\Program Files (x86)\AIRC\SNT;Uninstall
15/05/2026 23:56;;AIRCpreReq;26.01.02;;;Codigo nao identificado;;;;Uninstall
15/05/2026 23:56;;InstallCertsSGF;1.03.00;;;Codigo nao identificado;;;;Uninstall
